x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11
518.134,622.977,324.091,672.838,153.220,598.717,302.437,412.951,185.335,343.063,515.961,360.353,291.380,152.548,173.373,172.810,520.810,127.776,nan,nan,nan,nan
518.031,622.845,324.499,672.956,152.728,599.344,302.670,412.772,185.094,342.997,516.785,361.721,290.689,151.698,173.373,172.810,519.551,134.769,nan,nan,nan,nan
518.192,622.784,325.174,673.201,151.798,600.068,302.580,412.829,185.315,341.368,515.905,364.790,290.236,151.080,173.556,172.653,519.465,140.883,nan,nan,nan,nan
518.511,622.896,325.719,673.395,151.720,600.247,302.704,411.296,185.484,338.958,515.773,365.877,289.947,150.435,173.556,172.653,519.330,145.491,nan,nan,nan,nan
522.245,624.603,325.736,672.704,151.620,600.368,302.356,409.239,186.067,341.125,515.535,367.582,289.518,149.810,173.504,172.260,516.114,150.804,nan,nan,nan,nan
522.413,627.225,326.452,673.728,151.479,600.626,297.761,408.016,186.213,336.943,515.939,368.028,289.744,150.153,173.572,172.100,516.315,154.533,nan,nan,nan,nan
522.201,627.566,326.418,673.333,151.397,600.780,293.333,408.207,186.201,334.884,515.819,369.154,289.109,149.505,172.950,172.459,516.541,155.561,nan,nan,nan,nan
524.294,627.748,326.934,673.453,151.136,600.886,290.021,406.023,186.407,334.146,515.963,369.754,288.642,148.933,172.950,172.459,516.953,156.284,nan,nan,nan,nan
523.330,628.675,327.339,673.874,150.996,601.085,290.024,405.523,186.271,331.977,516.942,369.192,288.434,148.498,172.950,172.459,516.663,158.416,nan,nan,nan,nan
523.860,628.568,326.954,668.301,151.060,601.053,288.505,404.683,186.627,332.664,516.446,370.195,288.682,148.622,172.950,172.459,517.709,156.703,nan,nan,nan,nan
523.828,628.925,326.571,667.278,150.835,601.425,291.160,404.794,186.544,331.892,517.608,369.075,288.180,147.982,173.898,170.766,517.926,156.921,nan,nan,nan,nan
524.245,628.680,327.968,668.268,150.686,601.599,288.293,403.973,186.659,331.749,516.424,371.467,289.532,149.962,172.523,170.192,517.073,160.765,nan,nan,nan,nan
524.063,628.861,331.030,669.085,150.772,601.527,289.123,403.837,186.536,330.370,517.344,370.279,286.853,150.666,173.903,168.447,517.498,159.188,nan,nan,nan,nan
524.346,628.753,331.764,667.735,150.496,601.645,289.610,403.798,186.617,330.480,516.477,372.396,281.313,147.404,174.758,166.659,517.337,161.231,nan,nan,nan,nan
524.139,628.969,333.857,669.387,150.506,601.791,289.556,403.567,186.602,330.353,518.276,370.955,281.339,141.871,175.170,166.520,517.770,161.676,nan,nan,nan,nan
524.264,628.886,334.652,669.355,150.657,601.527,289.524,403.488,186.617,330.090,519.957,374.486,279.924,137.355,175.397,165.678,517.755,161.849,nan,nan,nan,nan
524.206,628.873,335.260,668.562,150.511,601.724,289.962,403.508,186.496,329.645,519.028,384.566,279.701,135.149,175.860,165.045,518.537,160.334,nan,nan,nan,nan
524.092,629.016,336.320,667.812,150.074,602.122,289.104,403.096,186.637,329.655,520.787,389.994,279.828,133.484,176.209,164.404,518.336,161.204,nan,nan,nan,nan
523.932,629.150,337.011,668.606,150.023,602.168,288.393,403.068,186.663,330.089,522.617,392.477,280.235,132.667,176.301,163.770,518.164,161.178,nan,nan,nan,nan
524.280,628.863,337.293,668.070,150.068,602.149,289.671,403.127,186.888,331.296,523.765,396.204,279.588,131.272,176.390,163.413,519.387,157.861,nan,nan,nan,nan
524.350,628.762,337.251,668.133,148.937,603.393,289.779,403.032,186.717,330.013,524.546,397.056,279.195,130.097,176.310,163.569,522.189,151.932,nan,nan,nan,nan
524.467,628.751,337.908,667.344,150.130,601.336,289.899,402.805,188.075,327.104,524.936,398.533,280.391,130.242,176.366,163.477,520.554,149.844,198.356,314.126,nan,nan
524.653,628.670,338.028,666.571,150.697,599.322,292.112,401.864,508.126,155.553,525.622,399.777,281.680,131.032,176.396,163.525,520.636,149.697,197.806,311.847,nan,nan
524.653,628.670,338.201,666.856,148.501,599.672,298.841,401.991,515.908,151.630,526.030,399.388,281.117,129.827,176.638,163.221,nan,nan,nan,nan,nan,nan
524.653,628.670,338.310,667.462,144.450,601.674,305.453,399.780,518.238,148.677,526.439,400.556,280.051,128.766,176.504,162.882,185.723,319.935,195.010,307.196,nan,nan
525.808,627.273,338.243,665.666,143.740,601.099,310.855,393.149,518.280,148.433,526.457,401.218,281.122,128.930,176.567,162.932,183.760,316.632,191.972,303.109,nan,nan
525.017,623.786,340.638,665.125,142.086,601.540,315.050,382.636,515.725,149.227,526.924,402.101,281.892,129.378,176.527,162.863,184.173,310.548,nan,nan,nan,nan
526.106,623.675,345.605,669.104,141.571,601.272,317.930,377.764,520.947,148.986,527.374,402.190,282.596,129.286,176.530,163.137,183.201,308.753,nan,nan,nan,nan
525.337,622.698,348.950,674.659,140.905,601.638,320.012,372.238,524.175,145.606,527.546,402.768,281.707,128.796,176.609,162.833,181.876,307.373,nan,nan,nan,nan
523.465,622.041,351.901,677.179,140.891,601.507,321.127,369.882,527.179,142.025,527.575,402.146,280.587,126.700,176.624,162.828,181.076,306.588,nan,nan,nan,nan
521.470,621.088,352.477,675.767,139.455,602.016,322.321,365.942,528.180,136.460,528.481,401.786,281.035,123.411,176.747,162.463,180.509,305.021,nan,nan,nan,nan
523.755,620.833,352.829,675.135,139.345,601.854,322.969,364.166,528.883,129.833,532.104,403.939,279.904,120.467,176.747,162.463,179.882,305.390,nan,nan,nan,nan
524.085,620.503,353.331,675.744,138.925,601.759,323.462,362.380,529.589,126.062,536.169,412.522,279.834,119.048,176.747,162.463,179.149,304.671,nan,nan,nan,nan
