x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
522.903,632.302,303.490,653.136,171.908,584.420,301.710,413.473,184.736,348.535,525.538,327.244,301.496,164.048,168.700,177.577,511.567,116.226,nan,nan
521.837,629.308,303.291,652.192,170.227,586.467,301.879,413.242,184.503,346.422,525.918,328.768,299.707,161.942,169.444,176.845,511.437,116.534,nan,nan
522.772,627.517,303.336,652.584,165.654,587.790,301.862,413.244,184.395,344.378,525.968,330.363,297.835,159.943,170.843,175.571,511.203,117.452,nan,nan
520.082,626.383,304.884,653.384,162.330,590.171,301.696,413.295,184.456,343.583,525.002,331.563,296.054,157.924,171.175,175.199,511.123,117.532,nan,nan
520.178,625.935,309.252,657.440,160.758,592.278,301.880,413.160,184.239,342.393,524.889,332.813,295.303,157.223,170.866,175.316,511.312,117.537,nan,nan
520.054,625.389,313.009,663.963,159.077,593.701,301.829,413.293,184.255,341.900,524.715,333.735,294.520,156.102,172.211,174.502,510.649,118.297,nan,nan
519.839,624.653,316.014,670.039,157.245,594.976,303.575,412.187,184.245,341.884,525.377,334.718,294.172,155.958,171.870,174.282,510.375,118.761,nan,nan
519.255,624.285,318.773,671.247,156.636,595.737,302.743,412.664,184.504,342.786,524.513,335.590,293.790,155.603,171.933,174.092,510.437,118.581,nan,nan
518.710,623.910,320.375,671.264,155.498,596.593,302.820,412.718,184.392,341.968,524.032,337.964,292.840,154.501,172.436,173.735,511.324,118.708,nan,nan
518.416,623.710,321.767,672.699,155.307,597.131,302.560,412.881,184.413,341.835,518.031,346.705,292.811,154.165,172.224,173.658,511.519,118.123,nan,nan
518.365,623.361,322.207,671.755,154.405,597.591,302.081,413.254,184.441,341.499,514.796,353.944,292.395,153.819,172.415,173.518,516.610,117.836,nan,nan
518.121,623.256,322.926,672.481,153.844,598.198,302.366,413.000,184.569,342.668,516.045,357.120,291.464,152.592,172.892,173.278,518.778,119.259,nan,nan
518.120,622.960,324.066,672.914,153.529,598.467,302.307,413.052,185.326,341.960,515.910,360.424,291.188,152.251,173.303,172.593,520.791,127.580,nan,nan
517.901,622.785,324.429,672.874,152.836,599.258,302.635,412.803,185.263,343.923,516.807,361.792,290.864,151.924,173.303,172.593,519.617,134.343,nan,nan
518.086,622.798,325.184,673.226,151.914,599.956,302.135,413.044,185.294,342.044,516.197,364.092,290.304,151.448,173.472,172.457,519.465,140.883,nan,nan
518.248,622.982,325.630,673.222,152.196,599.881,302.704,411.296,185.445,338.733,515.897,365.718,289.944,150.538,173.472,172.457,519.197,145.869,nan,nan
522.266,624.481,326.065,673.894,152.048,600.030,302.356,409.239,186.090,341.277,515.610,367.525,289.300,149.549,173.572,172.100,516.049,150.316,nan,nan
522.363,627.158,326.460,673.664,151.963,600.258,297.719,407.993,186.219,336.600,516.132,367.798,289.691,150.062,173.496,172.155,516.267,154.691,nan,nan
522.201,627.566,326.459,673.648,151.418,600.769,293.377,408.218,186.219,334.751,515.732,368.840,289.109,149.505,173.216,172.115,516.553,155.529,nan,nan
524.226,627.729,327.126,674.065,151.158,600.875,290.465,406.104,186.372,334.294,516.214,369.345,288.395,148.364,173.216,172.115,516.567,157.058,nan,nan
523.243,628.840,327.199,673.857,151.047,601.042,290.316,405.643,186.298,332.786,516.878,369.251,288.524,148.672,173.216,172.115,516.731,158.593,nan,nan
523.842,628.547,326.954,668.301,151.104,601.066,288.446,404.690,186.736,333.567,516.339,370.348,288.622,148.503,173.216,172.115,517.636,156.808,nan,nan
523.867,628.854,326.570,667.033,150.565,601.729,291.153,404.784,186.516,331.819,516.997,370.062,288.062,147.697,173.675,171.077,518.081,156.722,nan,nan
524.215,628.672,328.092,668.691,150.488,601.818,289.203,404.195,186.659,332.003,517.205,370.303,289.210,149.852,172.523,170.192,517.544,158.187,nan,nan
524.034,628.852,330.734,668.828,150.772,601.527,289.657,403.943,186.560,331.018,516.848,371.110,287.346,150.808,173.796,168.537,517.558,160.428,nan,nan
524.351,628.757,331.769,668.553,150.458,601.759,290.011,403.880,186.723,331.459,516.793,371.699,281.354,147.483,174.758,166.659,517.195,161.339,nan,nan
524.139,628.969,333.874,669.355,150.506,601.791,289.557,403.591,186.597,330.352,518.598,370.108,281.567,142.095,175.170,166.520,517.664,161.630,nan,nan
524.248,628.845,334.707,669.692,150.456,601.656,289.544,403.456,186.764,330.547,519.894,373.694,279.924,137.355,175.328,165.791,517.949,161.804,nan,nan
524.089,628.930,335.313,668.539,150.259,601.877,289.727,403.343,186.728,330.765,518.975,384.729,279.243,134.724,175.835,165.033,518.384,160.962,nan,nan
524.079,629.002,336.320,667.582,150.118,602.103,289.985,403.309,186.583,329.612,520.725,389.969,279.880,133.525,175.968,164.925,518.079,161.285,nan,nan
523.919,629.277,336.967,668.489,150.068,602.149,288.747,403.117,186.822,331.210,522.420,394.497,280.235,132.667,176.155,164.059,518.106,161.493,nan,nan
524.280,628.863,337.351,668.023,150.068,602.149,289.509,403.029,186.710,330.250,523.867,394.410,279.868,131.618,176.212,163.830,519.387,157.861,nan,nan
524.350,628.762,337.231,667.904,148.849,603.474,289.852,403.074,186.812,330.295,524.546,397.056,279.150,130.078,176.310,163.569,521.918,151.968,nan,nan
524.403,628.739,337.855,667.347,150.130,601.336,289.846,402.948,187.915,326.761,524.925,398.187,281.388,131.118,176.366,163.477,516.308,151.509,199.029,315.011
524.588,628.659,337.997,666.260,150.697,599.322,292.069,401.938,188.041,325.512,525.716,400.391,281.791,131.085,176.404,163.591,515.375,151.958,197.607,311.935
524.588,628.659,338.220,667.037,148.553,599.651,298.813,402.047,189.071,319.007,526.030,399.388,281.117,129.827,176.463,163.404,516.087,151.658,nan,nan
524.588,628.659,338.067,666.557,144.461,601.737,305.212,400.021,185.596,319.562,526.388,400.563,280.051,128.766,176.489,162.932,513.971,149.923,195.024,307.020
525.729,627.269,338.243,665.666,143.740,601.099,310.604,393.539,183.711,316.485,526.547,399.429,280.533,128.464,176.654,162.753,513.317,149.373,192.287,303.473
524.974,623.765,340.459,665.046,142.093,601.532,315.050,382.636,184.662,310.672,527.030,402.211,282.165,129.606,176.627,162.655,515.715,149.222,nan,nan
